Using cpu device
Wrapping the env in a DummyVecEnv.
Logging to experiments/RL/course_project/runs/ppo_imitation_bugfix_1_5M/tensorboard/ppo/PPO_1
---------------------------------
| rollout/           |          |
|    n_updates            | 440         |
|    policy_gradient_loss | -0.037      |
|    std                  | 0.942       |
|    value_loss           | 1.51        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 339         |
|    ep_rew_mean          | 36.2        |
| time/                   |             |
|    fps                  | 1532        |
|    iterations           | 46          |
|    time_elapsed         | 61          |
|    total_timesteps      | 94208       |
| train/                  |             |
|    approx_kl            | 0.022300225 |
|    clip_fraction        | 0.233       |
|    clip_range           | 0.2         |
|    entropy_loss         | -20.3       |
|    explained_variance   | 0.7908802   |
|    learning_rate        | 0.0003      |
|    loss                 | 0.534       |
|    n_updates            | 450         |
|    policy_gradient_loss | -0.0401     |
|    std                  | 0.939       |
|    value_loss           | 1.8         |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 346        |
|    ep_rew_mean          | 37.5       |
| time/                   |            |
|    fps                  | 1524       |
|    iterations           | 47         |
|    time_elapsed         | 63         |
|    total_timesteps      | 96256      |
| train/                  |            |
|    approx_kl            | 0.01958343 |
|    clip_fraction        | 0.236      |
|    clip_range           | 0.2        |
|    entropy_loss         | -20.3      |
|    explained_variance   | 0.7794731  |
|    learning_rate        | 0.0003     |
|    loss                 | 0.425      |
|    n_updates            | 460        |
|    policy_gradient_loss | -0.0405    |
|    std                  | 0.937      |
|    value_loss           | 1.9        |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 351         |
|    ep_rew_mean          | 38.2        |
| time/                   |             |
|    fps                  | 1523        |
|    iterations           | 48          |
|    time_elapsed         | 64          |
|    total_timesteps      | 98304       |
| train/                  |             |
|    approx_kl            | 0.020911366 |
|    clip_fraction        | 0.222       |
|    clip_range           | 0.2         |
|    entropy_loss         | -20.3       |
|    explained_variance   | 0.78510106  |
|    learning_rate        | 0.0003      |
|    loss                 | 0.82        |
|    n_updates            | 470         |
|    policy_gradient_loss | -0.0397     |
|    std                  | 0.937       |
|    value_loss           | 2.21        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 357         |
|    ep_rew_mean          | 39.3        |
| time/                   |             |
|    fps                  | 1521        |
|    iterations           | 49          |
|    time_elapsed         | 65          |
|    total_timesteps      | 100352      |
| train/                  |             |
|    approx_kl            | 0.021733068 |
|    clip_fraction        | 0.229       |
|    clip_range           | 0.2         |
|    entropy_loss         | -20.3       |
|    explained_variance   | 0.7287484   |
|    learning_rate        | 0.0003      |
|    loss                 | 1.42        |
|    n_updates            | 480         |
|    policy_gradient_loss | -0.0402     |
|    std                  | 0.936       |
|    value_loss           | 2.48        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 364         |
|    ep_rew_mean          | 40.3        |
| time/                   |             |
|    fps                  | 1517        |
|    iterations           | 50          |
|    time_elapsed         | 67          |
|    total_timesteps      | 102400      |
| train/                  |             |
|    approx_kl            | 0.021320127 |
|    clip_fraction        | 0.229       |
|    clip_range           | 0.2         |
